"exe_id","count(*)","sum(amount)"
"kongep02","130","650000.00"
"sittichokmed","15","150000.00"
"narongrit13094","15","150000.00"
"sittichokzaaz01","11","110000.00"
"wuttipandee43","10","100000.00"
"artkup8a","20","100000.00"
"arteieie","19","100000.00"
"nnbszone4001","6","60000.00"
"bankgaoxgy888","7","50600.00"
"satangnook","10","50000.00"
"raklxpidiot","10","50000.00"
"mrneng116","5","50000.00"
"jojza1594","10","50000.00"
"jimmyshop012","10","50000.00"
"basketkung18","9","50000.00"
"suriyakaizm","5","50000.00"
"phoomisit159","2","20000.00"
"johnnylaos2026","7","19000.00"
"popsoda02","16","16000.00"
"neiromaycry5","5","13050.00"
"pakamas081259","6","10890.00"
"naysilck","6","10000.00"
"spacexboy01","1","10000.00"
"bassileatw","1","10000.00"
"not0957543020","5","5000.00"
"skrrt1999","4","5000.00"
"fxrnkahfei","5","5000.00"
"0toybass890","4","2300.00"
"louiszakup007","3","2150.00"
"azzaqwertyu15","2","2000.00"
"asoojih","2","1300.00"
"poamza2545","4","1190.00"
"bspfalcon7","4","1150.00"
"armindy2568","2","1090.00"
"beboom7921","4","1050.00"
"brightxoxo","2","1050.00"
"sinpo500","1","1000.00"
"brightxoxo2","1","1000.00"
"brightxo","1","1000.00"
"pornajajub","1","1000.00"
"supermasternok","1","1000.00"
"nirantoo13","1","1000.00"
"donutnoii23","1","1000.00"
"narunat420","1","1000.00"
"emotion19","1","1000.00"
"ballpk5940","9","870.00"
"nirantoo12","2","800.00"
"fourgas4","2","800.00"
"arsgoetia","2","800.00"
"jrwyeen7410","10","750.00"
"0883030767zaq","3","650.00"
"husok888","6","650.00"
"eakkchai0053","2","600.00"
"pee01900204","5","580.00"
"nedudebl1","2","550.00"
"nongyeen1999","3","540.00"
"popomiy","3","540.00"
"sxrx302003","3","540.00"
"fordzaabtt","4","500.00"
"tumchatuphone","1","500.00"
"jamee2001","1","500.00"
"ipbosssy2","1","500.00"
"tuyzaba01","1","500.00"
"nuttawet","1","500.00"
"dlanko012","3","480.00"
"thanapad2026","2","450.00"
